puzzle20.txt	758	2022	2012	2025
puzzle22.txt	2481	6648	6642	6651
puzzle21.txt	3393	9087	9079	9090
puzzle23.txt	5307	14204	14197	14207
puzzle24.txt	4182	11058	11048	11061
puzzle25.txt	11015	29433	29425	29436
puzzle27.txt	11750	30951	30944	30954
puzzle29.txt	12509	33031	33028	33032
puzzle26.txt	11638	30981	30975	30984
puzzle28.txt	28612	75763	75755	75765
puzzle30.txt	46369	122899	122896	122901
puzzle31.txt	49861	131197	131193	131199
puzzle39.txt	60726	184841	184839	184842
puzzle41.txt	57263	189916	189906	189919
puzzle34.txt	127973	393962	393958	393963
puzzle37.txt	139382	429290	429285	429291
puzzle44.txt	196946	632556	632546	632559
puzzle32.txt	434918	1345429	1345426	1345430
puzzle35.txt	463913	1397934	1397924	1397937
puzzle33.txt	431576	1330454	1330446	1330457
puzzle43.txt	888930	2699816	2699812	2699817
puzzle46.txt	910682	2711355	2711347	2711358
puzzle40.txt	955214	2888273	2888268	2888275
puzzle36.txt	1728979	5280980	5280973	5280982
puzzle45.txt	1989609	6002146	6002138	6002149
